color,date,slug,title,lshow,link,readings,optional,assigned,ashow,due,dshow,aaassigned,,
white,3-Sep,Intro and Overview,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec1.pdf,,,"<a href=""https://github.com/w4111/hw0"">HW 0</a><br/>Look for teammates",,,,,,
#e7f8ff,5-Sep,ER Models,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec2-er.pdf,"Chapter 6 except for Sections 6.7, 6.10, and 6.11.",,"<a href=""https://github.com/w4111/hw1-f24"">HW1 Part 1</a><br/><a href=""https://github.com/w4111/project1-f24"">Project 1 Part 1</a>",,HW0 (9/8 11:59PM EST.  NO LATE DAYS),1,,,
#e7f8ff,10-Sep,ER Models,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec2-er.pdf,"Chapter 6 except for Sections 6.7, 6.10, and 6.11.",,,,HW 1 Part 1 (9/11 11:59PM EST)<br/>Formed Project 1 Team (no submission),,,,
#e7f8ff,12-Sep,Relational Model,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec3.pdf,"Ch 2.1-2.3, 2.5, 6.7, 6.8, except 6.7.2",,,,Project 1 Part 1 approval phase,,,,
#e7f8ff,17-Sep,Relational Model,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec3.pdf,"Ch 2.1-2.3, 2.5, 6.7, 6.8, except 6.7.2",,"<a href=""https://github.com/w4111/hw1-f24"">HW1 Part 2 Schema</a>",,Project 1 Part 1 approval phase,,,,
#f2f9ed,19-Sep,Relational Algebra,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec4.pdf,"Ch 2.6 (use lecture notations, which differ from the book)",,,,Project 1 Part 1 approval phase,,,,
#f2f9ed,24-Sep,Relational Algebra,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec4.pdf,"Ch 2.6 (use lecture notations, which differ from the book)",,,,Project 1 Part 1 10AM digital copy,,,,
#f2f9ed,26-Sep,"SQL: Basics, Joins",,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec5.pdf,Ch 3,,HW2<br/>Project 1 Part 2,,HW1 Part 2,,"<a href=""https://github.com/w4111/hw2-f22"">HW2</a><br/>",,
#f2f9ed,1-Oct,"SQL: Group by, Order by, UDFs",,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec5.pdf,Ch 3,,,,,,,,
#f2f9ed,3-Oct,SQL: Advanced,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec5.pdf,"Ch 4.1-4.4, 5.2-5.4",,,,HW2 (No grace days/late submissions accepted at all beyond 10/7 11:59PM EST),,,,
white,8-Oct,Review,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec5-review.pdf,,,,,,,,,
white,10-Oct,Midterm 1,In-person,,,,,HW3<br/>Project 1 Part 3,,,,"<a href=""https://github.com/w4111/hw3-f22"">HW3</a><br/>",,
#edf3f9,15-Oct,APIs,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec6-apis.pdf,"Ch 5.1, 5.2",,,,Project 1 Part 2,,,,
#edf3f9,17-Oct,Security and Privacy,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec6-security.pdf,,,,,,,,,
#edf3f9,22-Oct,Normalization,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec7.pdf,Ch 7.1-7.5,,,,,,,,
#edf3f9,24-Oct,Normalization and Data Quality,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec7.pdf,,,,,,,,,
#ffe7e7,29-Oct,Physical Design,Storage and Files,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec8.pdf,"Ch 12, 13.1-13.3, 14.3, 14.5",,HW4<br/>Project 2,,HW3,,"<a href=""https://github.com/w4111/hw4-f22"">HW4</a><br/>",,
#ffe7e7,31-Oct,Physical Design,Indexes and Access Methods,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec8.pdf,"Ch 12, 13.1-13.3, 14.3, 14.5",,,,,,,,
#ffe7e7,7-Nov,Query Processing,"Plans, Statistics, Joins",,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec9.pdf,Ch 15.1-15.6,,,,,,,,
#ffe7e7,12-Nov,Query Processing,Joins Optimization,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec9.pdf,Ch 15.1-15.6,,,,Project 1 Part 3 & Meetings,,,,
#ffe7e7,14-Nov,Transactions,Concurrency Control,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec10.pdf,Ch 17,,,,Project 1 Part 3 Meetings,,,,
#ffe7e7,19-Nov,Transactions,Concurrency Control,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec10.pdf,Ch 17,,,,Project 1 Part 3 Meetings,,,,
#ffe7e7,21-Nov,Transactions,Recovery,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec10.pdf,Ch 17,,,,HW4<br/>Project 2,,,,"HW4<br/><a href=""https://github.com/w4111/project2-f22-template"">Project 2</a>"
#f2f9ed,26-Nov,Guest Lecture (Tentative),TBA,,,,,,,,,,,"<a href=""https://github.com/w4111/-Extra-Credit-Kaggle-Analysis-"">Kaggle Extra Credit</a>"
#f2f9ed,3-Dec,Beyond Classic Relational DBMSes,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec11.pdf,,,,,,,,,
#f2f9ed,5-Dec,Review,,,,,,,,,,,,Wiki extra credit (12/9 11:59PM EST)
white,13-Dec,Final,In-person,,,,,,,,,,,
